phase,query_type,actor,emotion,bucket,approach,elapsed_seconds,n_files
write,write,,,video_medium,pure_mongo,0.012794,1
write,write,,,video_medium,polyglot,0.014199,1
write,write,,,video_medium,pure_mongo,0.011840,1
write,write,,,video_medium,polyglot,0.014872,1
write,write,,,video_medium,pure_mongo,0.013102,1
write,write,,,video_medium,polyglot,0.013945,1
write,write,,,video_medium,pure_mongo,0.025012,1
write,write,,,video_large,polyglot,0.048381,1
write,write,,,video_large,pure_mongo,0.040221,1
write,write,,,video_large,polyglot,0.040685,1
write,write,,,video_large,pure_mongo,0.042200,1
write,write,,,video_large,polyglot,0.046890,1
write,write,,,video_large,pure_mongo,0.058078,1
write,write,,,video_large,polyglot,0.044678,1
write,write,,,video_large,pure_mongo,0.049375,1
write,write,,,video_large,polyglot,0.047872,1
write,write,,,video_large,pure_mongo,0.130733,1
write,write,,,video_large,polyglot,0.067697,1
write,write,,,video_large,pure_mongo,0.072640,1
write,write,,,video_large,polyglot,0.057525,1
write,write,,,video_large,pure_mongo,0.046083,1
write,write,,,video_large,polyglot,0.052281,1
write,write,,,video_large,pure_mongo,0.052541,1
write,write,,,video_large,polyglot,0.050879,1
write,write,,,video_large,pure_mongo,0.056632,1
write,write,,,video_large,polyglot,0.071387,1
write,write,,,video_large,pure_mongo,0.046951,1
write,write,,,audio_small,polyglot,0.007474,1
write,write,,,audio_small,pure_mongo,0.005291,1
write,write,,,audio_small,polyglot,0.006486,1
write,write,,,audio_small,pure_mongo,0.005348,1
write,write,,,audio_small,polyglot,0.006564,1
write,write,,,audio_small,pure_mongo,0.006231,1
write,write,,,audio_small,polyglot,0.005808,1
write,write,,,audio_small,pure_mongo,0.008182,1
write,write,,,audio_small,polyglot,0.006841,1
write,write,,,audio_small,pure_mongo,0.007803,1
write,write,,,audio_small,polyglot,0.015527,1
write,write,,,audio_small,pure_mongo,0.010572,1
write,write,,,audio_small,polyglot,0.007906,1
write,write,,,audio_small,pure_mongo,0.006803,1
write,write,,,audio_small,polyglot,0.009625,1
write,write,,,audio_small,pure_mongo,0.007085,1
write,write,,,audio_small,polyglot,0.007502,1
write,write,,,audio_small,pure_mongo,0.006961,1
write,write,,,audio_small,polyglot,0.006399,1
write,write,,,audio_small,pure_mongo,0.006214,1
write,write,,,video_medium,polyglot,0.010507,1
write,write,,,video_medium,pure_mongo,0.012286,1
write,write,,,video_medium,polyglot,0.012342,1
write,write,,,video_medium,pure_mongo,0.017333,1
write,write,,,video_medium,polyglot,0.018841,1
write,write,,,video_medium,pure_mongo,0.013204,1
write,write,,,video_medium,polyglot,0.011859,1
write,write,,,video_medium,pure_mongo,0.014825,1
write,write,,,video_medium,polyglot,0.012741,1
write,write,,,video_medium,pure_mongo,0.012463,1
write,write,,,video_medium,polyglot,0.013394,1
write,write,,,video_medium,pure_mongo,0.013816,1
write,write,,,video_medium,polyglot,0.014693,1
write,write,,,video_medium,pure_mongo,0.012155,1
write,write,,,video_medium,polyglot,0.016232,1
write,write,,,video_medium,pure_mongo,0.014378,1
write,write,,,video_medium,polyglot,0.014296,1
write,write,,,video_medium,pure_mongo,0.013576,1
write,write,,,video_medium,polyglot,0.026529,1
write,write,,,video_medium,pure_mongo,0.013159,1
write,write,,,video_large,polyglot,0.046659,1
write,write,,,video_large,pure_mongo,0.045600,1
write,write,,,video_large,polyglot,0.041055,1
write,write,,,video_large,pure_mongo,0.051052,1
write,write,,,video_large,polyglot,0.042742,1
write,write,,,video_large,pure_mongo,0.045742,1
write,write,,,video_large,polyglot,0.048677,1
write,write,,,video_large,pure_mongo,0.051362,1
write,write,,,video_large,polyglot,0.043924,1
write,write,,,video_large,pure_mongo,0.049275,1
write,write,,,video_large,polyglot,0.050509,1
write,write,,,video_large,pure_mongo,0.059530,1
write,write,,,video_large,polyglot,0.042095,1
write,write,,,video_large,pure_mongo,0.045490,1
write,write,,,video_large,polyglot,0.040035,1
write,write,,,video_large,pure_mongo,0.051535,1
write,write,,,video_large,polyglot,0.048404,1
write,write,,,video_large,pure_mongo,0.049658,1
write,write,,,video_large,polyglot,0.049658,1
write,write,,,video_large,pure_mongo,0.055682,1
write,write,,,audio_small,polyglot,0.010411,1
write,write,,,audio_small,pure_mongo,0.007288,1
write,write,,,audio_small,polyglot,0.007365,1
write,write,,,audio_small,pure_mongo,0.006040,1
write,write,,,audio_small,polyglot,0.006353,1
write,write,,,audio_small,pure_mongo,0.006342,1
write,write,,,audio_small,polyglot,0.005949,1
write,write,,,audio_small,pure_mongo,0.006149,1
write,write,,,audio_small,polyglot,0.006877,1
write,write,,,audio_small,pure_mongo,0.006925,1
write,write,,,audio_small,polyglot,0.008734,1
write,write,,,audio_small,pure_mongo,0.008267,1
write,write,,,audio_small,polyglot,0.006853,1
write,write,,,audio_small,pure_mongo,0.005163,1
write,write,,,audio_small,polyglot,0.010374,1
write,write,,,audio_small,pure_mongo,0.005699,1
write,write,,,audio_small,polyglot,0.006150,1
write,write,,,audio_small,pure_mongo,0.005962,1
write,write,,,audio_small,polyglot,0.007902,1
write,write,,,audio_small,pure_mongo,0.005658,1
write,write,,,video_medium,polyglot,0.014754,1
write,write,,,video_medium,pure_mongo,0.011606,1
write,write,,,video_medium,polyglot,0.026686,1
write,write,,,video_medium,pure_mongo,0.039267,1
write,write,,,video_medium,polyglot,0.018743,1
write,write,,,video_medium,pure_mongo,0.009951,1
write,write,,,video_medium,polyglot,0.010183,1
write,write,,,video_medium,pure_mongo,0.010795,1
write,write,,,video_medium,polyglot,0.012628,1
write,write,,,video_medium,pure_mongo,0.011026,1
write,write,,,video_medium,polyglot,0.025713,1
write,write,,,video_medium,pure_mongo,0.010223,1
write,write,,,video_medium,polyglot,0.011391,1
write,write,,,video_medium,pure_mongo,0.009964,1
write,write,,,video_medium,polyglot,0.011018,1
write,write,,,video_medium,pure_mongo,0.009473,1
write,write,,,video_medium,polyglot,0.011253,1
write,write,,,video_medium,pure_mongo,0.010264,1
write,write,,,video_medium,polyglot,0.010665,1
write,write,,,video_medium,pure_mongo,0.011347,1
write,write,,,video_large,polyglot,0.048683,1
write,write,,,video_large,pure_mongo,0.049042,1
